CPU Time,Time,AccX(G),AccY(G),AccZ(G),Ambient(degC),Humidity(%),Pressure(hPa),Acquisition Frequency,V_bat_1,V_bat_2,I_bat,T_bat_1,T_bat_2,Ambient_Temp,SoC_value
1633623264.087675,2021-10-07 12:14:24.087629,-0.069,0.030,1.022,31.977,100.000,641.773,9.124,23.824,11.498,0.087,24.592,25.34,24.513,52.363
1633623265.070494,2021-10-07 12:14:25.070454,-0.071,0.031,1.021,31.977,100.000,641.773,10.917,23.835,11.513,0.004,24.529,25.273,24.474,52.363
1633623266.0746937,2021-10-07 12:14:26.074653,-0.073,0.028,1.021,31.977,100.000,641.773,10.545,23.814,11.487,0.17,24.718,25.607,24.551,52.363
1633623267.0692117,2021-10-07 12:14:27.069158,-0.070,0.031,1.023,31.977,100.000,641.773,11.305,23.814,11.492,0.17,24.781,25.674,24.513,52.363
1633623268.090522,2021-10-07 12:14:28.090463,-0.070,0.030,1.024,31.977,100.000,641.773,9.187,23.814,11.477,0.17,24.718,25.807,24.513,52.363
1633623269.0774324,2021-10-07 12:14:29.077381,-0.071,0.029,1.023,21.084,41.799,1012.091,10.567,23.855,11.513,0.087,24.592,25.406,24.513,52.363
1633623270.074138,2021-10-07 12:14:30.074088,-0.069,0.031,1.023,21.084,41.799,1012.091,11.057,23.845,11.513,0.087,24.529,25.54,24.474,52.363
1633623271.0735111,2021-10-07 12:14:31.073450,-0.070,0.028,1.022,21.084,41.799,1012.091,11.255,23.845,11.503,0.17,24.592,25.674,24.551,52.363
1633623272.083058,2021-10-07 12:14:32.083023,-0.072,0.031,1.026,21.084,41.799,1012.091,10.258,23.814,11.492,0.17,24.718,25.54,24.628,52.363
1633623273.098046,2021-10-07 12:14:33.097996,-0.069,0.030,1.024,21.084,41.799,1012.091,8.964,23.814,11.477,0.17,24.718,25.674,24.513,52.363
1633623274.0915453,2021-10-07 12:14:34.091497,-0.070,0.031,1.020,21.087,41.738,1012.096,9.592,23.855,11.518,0.087,24.466,25.273,24.474,52.363
1633623275.0720685,2021-10-07 12:14:35.072024,-0.071,0.030,1.029,21.087,41.738,1012.096,11.929,23.855,11.498,0.087,24.592,25.54,24.513,52.363
1633623276.0857973,2021-10-07 12:14:36.085755,-0.073,0.030,1.022,21.087,41.738,1012.096,10.347,23.835,11.498,0.17,24.529,25.54,24.513,52.363
1633623277.0950296,2021-10-07 12:14:37.094977,-0.071,0.030,1.027,21.087,41.738,1012.096,9.523,23.845,11.503,0.087,24.529,25.54,24.474,52.363
1633623278.0744011,2021-10-07 12:14:38.074356,-0.071,0.029,1.024,21.087,41.738,1012.096,11.986,23.814,11.492,0.087,24.718,25.406,24.513,52.363
1633623279.0922503,2021-10-07 12:14:39.092177,-0.069,0.034,1.022,21.095,41.655,1012.108,9.970,23.845,11.487,0.17,24.655,25.74,24.589,52.363
1633623280.0729322,2021-10-07 12:14:40.072890,-0.071,0.029,1.025,21.095,41.655,1012.108,12.500,23.865,11.498,0.004,24.403,25.273,24.321,52.363
1633623281.1082382,2021-10-07 12:14:41.108188,-0.070,0.029,1.020,21.095,41.655,1012.108,8.743,23.794,11.472,0.17,24.718,25.74,24.551,52.363
1633623282.0835888,2021-10-07 12:14:42.083544,-0.069,0.030,1.024,21.095,41.655,1012.108,11.259,23.845,11.508,0.17,24.403,25.54,24.513,52.363
1633623283.0931559,2021-10-07 12:14:43.093021,-0.071,0.031,1.021,21.095,41.655,1012.108,10.279,23.804,11.482,0.17,24.655,25.674,24.589,52.363
1633623284.082111,2021-10-07 12:14:44.082066,-0.070,0.026,1.028,21.101,41.583,1012.115,11.746,23.773,11.487,0.17,24.718,25.807,24.551,52.363
1633623285.0858955,2021-10-07 12:14:45.085848,-0.070,0.031,1.022,21.101,41.583,1012.115,11.369,23.835,11.492,0.087,24.655,25.54,24.513,52.363
1633623286.0745397,2021-10-07 12:14:46.074497,-0.071,0.029,1.026,21.101,41.583,1012.115,13.223,23.824,11.487,0.087,24.529,25.54,24.436,52.363
1633623287.0888124,2021-10-07 12:14:47.088767,-0.073,0.029,1.020,21.101,41.583,1012.115,11.248,23.835,11.492,0.17,24.655,25.54,24.513,52.363
1633623288.0799654,2021-10-07 12:14:48.079919,-0.070,0.032,1.026,21.101,41.583,1012.115,12.640,23.845,11.492,0.087,24.655,25.607,24.513,52.363
