CPU Time,Time,AccX(G),AccY(G),AccZ(G),Ambient(degC),Humidity(%),Pressure(hPa),Acquisition Frequency,V_bat_1,V_bat_2,I_bat,T_bat_1,T_bat_2,Ambient_Temp,SoC_value
1638891233.4076543,2021-12-07 10:33:53.407604,-0.093,0.002,1.017,31.977,100.000,641.773,15.757,8.264,3.896,75.851,110.146,115.52,76.448,-774.848
1638891234.3789568,2021-12-07 10:33:54.378920,-0.091,0.001,1.020,31.977,100.000,641.773,29.839,15.645,7.681,41.738,70.582,73.569,52.395,-774.848
1638891235.3978517,2021-12-07 10:33:55.397807,-0.091,0.005,1.019,31.977,100.000,641.773,19.491,23.015,11.472,7.542,30.955,31.552,28.305,-774.848
1638891236.4152634,2021-12-07 10:33:56.415214,-0.098,0.004,1.026,31.977,100.000,641.773,14.804,24.489,12.224,0.538,23.08,23.202,23.517,-774.848
1638891237.387558,2021-12-07 10:33:57.387517,-0.094,0.000,1.013,31.977,100.000,641.773,25.767,24.489,12.224,0.538,22.954,23.068,23.44,-774.848
1638891238.4209354,2021-12-07 10:33:58.420891,-0.094,0.002,1.018,19.431,20.812,1011.283,14.108,24.489,12.23,0.62,22.891,23.002,23.402,-774.848
1638891239.4020708,2021-12-07 10:33:59.402023,-0.095,0.003,1.023,19.431,20.812,1011.283,19.619,24.5,12.23,0.62,22.828,22.935,23.364,-774.848
1638891240.4081087,2021-12-07 10:34:00.408062,-0.096,0.007,1.026,19.431,20.812,1011.283,17.882,24.5,12.23,0.62,22.765,22.868,23.326,-774.848
1638891241.415623,2021-12-07 10:34:01.415579,-0.093,0.004,1.023,19.431,20.812,1011.283,16.031,24.5,12.23,0.62,22.702,22.801,23.287,-774.848
1638891242.4215064,2021-12-07 10:34:02.421457,-0.091,0.000,1.021,19.431,20.812,1011.283,14.874,24.5,12.23,0.62,22.702,22.801,23.287,-774.848
1638891243.4069319,2021-12-07 10:34:03.406885,-0.091,0.002,1.026,19.441,20.092,1011.280,19.363,24.5,12.23,0.62,22.639,22.734,23.249,-774.848
1638891244.392334,2021-12-07 10:34:04.392283,-0.090,0.002,1.022,19.441,20.092,1011.280,27.845,24.511,12.23,0.702,22.576,22.668,23.211,-774.848
1638891245.4329655,2021-12-07 10:34:05.432921,-0.087,0.000,1.027,19.441,20.092,1011.280,13.256,24.511,12.23,0.702,22.513,22.601,23.172,-774.848
1638891246.4401608,2021-12-07 10:34:06.440097,-0.097,-0.000,1.025,19.441,20.092,1011.280,12.259,24.511,12.23,0.702,22.45,22.534,23.134,-774.848
1638891247.4350288,2021-12-07 10:34:07.434980,-0.093,0.003,1.024,19.441,20.092,1011.280,13.263,24.511,12.23,0.702,22.387,22.467,23.096,-774.848
1638891248.4210367,2021-12-07 10:34:08.420994,-0.094,0.005,1.024,19.459,19.227,1011.279,16.568,24.511,12.23,0.702,22.387,22.467,23.096,-774.848
1638891249.4059296,2021-12-07 10:34:09.405883,-0.093,-0.003,1.023,19.459,19.227,1011.279,22.648,24.511,12.23,0.702,22.324,22.4,23.057,-774.848
1638891250.4208386,2021-12-07 10:34:10.420787,-0.089,0.008,1.025,19.459,19.227,1011.279,17.267,24.511,12.23,0.702,22.324,22.4,23.057,-774.848
1638891251.4496984,2021-12-07 10:34:11.449654,-0.094,0.002,1.023,19.459,19.227,1011.279,11.670,24.511,12.23,0.62,22.261,22.334,23.019,-774.848
1638891252.4010406,2021-12-07 10:34:12.400998,-0.093,0.000,1.026,19.459,19.227,1011.279,27.788,24.5,12.23,0.702,22.198,22.267,22.981,-774.848
1638891253.419528,2021-12-07 10:34:13.419490,-0.089,0.008,1.019,19.487,18.517,1011.275,18.696,24.5,12.23,0.702,22.135,22.2,22.942,-774.848
1638891254.4391334,2021-12-07 10:34:14.439080,-0.092,-0.002,1.024,19.487,18.517,1011.275,13.897,24.511,12.235,0.702,22.135,22.2,22.942,-774.848
1638891255.420517,2021-12-07 10:34:15.420475,-0.093,0.002,1.022,19.487,18.517,1011.275,19.113,24.522,12.235,0.702,22.072,22.133,22.904,-774.848
1638891256.421407,2021-12-07 10:34:16.421353,-0.096,-0.000,1.027,19.487,18.517,1011.275,19.138,24.533,12.235,0.702,22.072,22.133,22.904,-774.848
1638891257.420118,2021-12-07 10:34:17.420058,-0.097,-0.002,1.017,19.487,18.517,1011.275,20.064,24.533,12.23,0.702,22.072,22.133,22.904,-774.848
1638891258.4263637,2021-12-07 10:34:18.426322,-0.094,0.002,1.023,19.522,17.903,1011.276,18.165,24.533,12.23,0.702,22.072,22.133,22.904,-774.848
1638891259.4108682,2021-12-07 10:34:19.410823,-0.089,0.000,1.024,19.522,17.903,1011.276,26.032,24.522,12.23,0.702,22.072,22.133,22.904,-774.848
1638891260.4088516,2021-12-07 10:34:20.408819,-0.090,0.001,1.023,19.522,17.903,1011.276,28.328,24.511,12.241,0.785,22.072,22.133,22.904,-774.848
1638891261.4469066,2021-12-07 10:34:21.446851,-0.098,-0.005,1.025,19.522,17.903,1011.276,13.836,24.522,12.247,0.702,21.946,22.0,22.828,-774.848
1638891262.4343996,2021-12-07 10:34:22.434355,-0.088,-0.005,1.026,19.522,17.903,1011.276,17.045,24.522,12.247,0.702,21.883,21.933,22.789,-774.848
1638891263.4461856,2021-12-07 10:34:23.446142,-0.091,0.005,1.025,19.553,17.479,1011.273,14.446,24.522,12.247,0.62,21.82,21.866,22.751,-774.848
1638891264.4140723,2021-12-07 10:34:24.414026,-0.093,0.008,1.019,19.553,17.479,1011.273,27.730,24.522,12.241,0.62,21.883,21.933,22.789,-774.848
1638891265.4220297,2021-12-07 10:34:25.421994,-0.091,0.003,1.020,19.553,17.479,1011.273,23.325,24.511,12.235,0.62,21.883,21.933,22.789,-774.849
1638891266.4146934,2021-12-07 10:34:26.414667,-0.100,-0.003,1.023,19.553,17.479,1011.273,28.952,24.522,12.235,0.62,21.82,21.866,22.751,-774.849
1638891267.4610815,2021-12-07 10:34:27.461041,-0.088,0.009,1.017,19.553,17.479,1011.273,12.551,24.522,12.235,0.62,21.757,21.799,22.713,-774.849
1638891268.4547064,2021-12-07 10:34:28.454679,-0.097,0.002,1.027,19.580,17.217,1011.271,13.893,24.522,12.235,0.702,21.757,21.799,22.713,-774.849
1638891269.4598966,2021-12-07 10:34:29.459851,-0.096,0.005,1.017,19.580,17.217,1011.271,13.176,24.522,12.235,0.702,21.757,21.799,22.713,-774.849
1638891270.4283724,2021-12-07 10:34:30.428328,-0.093,0.001,1.021,19.580,17.217,1011.271,23.325,24.544,12.23,0.702,21.694,21.732,22.674,-774.849
1638891271.4246054,2021-12-07 10:34:31.424567,-0.095,0.003,1.019,19.580,17.217,1011.271,26.474,24.544,12.23,0.702,21.631,21.666,22.636,-774.849
1638891272.4476137,2021-12-07 10:34:32.447574,-0.093,0.001,1.019,19.580,17.217,1011.271,16.983,24.555,12.23,0.702,21.631,21.666,22.636,-774.849
1638891273.4225585,2021-12-07 10:34:33.422520,-0.094,0.001,1.022,19.580,17.217,1011.271,30.485,24.544,12.241,0.62,21.631,21.666,22.636,-774.849
1638891274.4461336,2021-12-07 10:34:34.446091,-0.095,0.002,1.022,19.604,16.987,1011.256,18.095,24.533,12.241,0.62,21.631,21.666,22.636,-774.849
1638891275.442538,2021-12-07 10:34:35.442491,-0.093,0.001,1.024,19.604,16.987,1011.256,19.755,24.533,12.247,0.62,21.631,21.666,22.636,-774.849
1638891276.451521,2021-12-07 10:34:36.451479,-0.096,0.010,1.020,19.604,16.987,1011.256,17.133,24.544,12.247,0.62,21.568,21.599,22.598,-774.849
1638891277.4675434,2021-12-07 10:34:37.467500,-0.098,0.007,1.020,19.604,16.987,1011.256,13.657,24.555,12.252,0.62,21.568,21.599,22.598,-774.849
1638891278.4322832,2021-12-07 10:34:38.432237,-0.085,-0.007,1.030,19.604,16.987,1011.256,27.313,24.555,12.252,0.538,21.568,21.599,22.598,-774.849
1638891279.4341567,2021-12-07 10:34:39.434118,-0.240,-0.048,1.024,19.627,16.787,1011.263,26.982,24.467,12.213,3.01,21.82,21.866,22.751,-774.849
1638891280.461209,2021-12-07 10:34:40.461168,-0.139,-0.048,0.985,19.627,16.787,1011.263,15.919,24.313,12.138,6.718,22.387,22.467,23.096,-774.849
1638891281.4415882,2021-12-07 10:34:41.441541,-0.078,-0.055,0.996,19.627,16.787,1011.263,23.745,24.137,12.064,10.59,23.017,23.135,23.479,-774.849
1638891282.4329374,2021-12-07 10:34:42.432907,-0.055,-0.001,1.024,19.627,16.787,1011.263,31.228,24.137,12.064,9.19,22.954,23.068,23.44,-774.849
1638891283.4721084,2021-12-07 10:34:43.472062,-0.097,-0.001,1.020,19.627,16.787,1011.263,14.301,24.247,12.116,5.399,22.45,22.534,23.134,-774.849
1638891284.4787018,2021-12-07 10:34:44.478621,-0.093,-0.008,1.025,19.649,16.582,1011.259,13.321,24.412,12.195,0.62,21.82,21.866,22.751,-774.849
1638891285.4534311,2021-12-07 10:34:45.453385,-0.099,-0.003,1.023,19.649,16.582,1011.259,20.514,24.434,12.207,0.867,21.757,21.799,22.713,-774.849
1638891286.4943147,2021-12-07 10:34:46.494265,-0.095,-0.005,1.021,19.649,16.582,1011.259,11.301,24.467,12.218,0.62,21.694,21.732,22.674,-774.849
1638891287.465685,2021-12-07 10:34:47.465643,-0.101,-0.006,1.023,19.649,16.582,1011.259,17.017,24.478,12.224,0.62,21.694,21.732,22.674,-774.849
1638891288.477458,2021-12-07 10:34:48.477408,-0.095,-0.003,1.011,19.649,16.582,1011.259,14.471,24.478,12.224,0.702,21.631,21.666,22.636,-774.849
1638891289.450498,2021-12-07 10:34:49.450469,-0.094,-0.005,1.020,19.669,16.502,1011.258,24.561,24.489,12.23,0.62,21.568,21.599,22.598,-774.849
1638891290.474557,2021-12-07 10:34:50.474514,-0.099,-0.006,1.020,19.669,16.502,1011.258,15.701,24.489,12.23,0.62,21.568,21.599,22.598,-774.849
1638891291.479616,2021-12-07 10:34:51.479573,-0.097,-0.004,1.022,19.669,16.502,1011.258,14.795,24.5,12.23,0.62,21.568,21.599,22.598,-774.849
1638891292.4449456,2021-12-07 10:34:52.444922,-0.099,-0.006,1.016,19.669,16.502,1011.258,31.962,24.5,12.235,0.62,21.505,21.532,22.559,-774.849
1638891293.484872,2021-12-07 10:34:53.484831,-0.089,-0.006,1.021,19.669,16.502,1011.258,14.409,24.511,12.235,0.62,21.442,21.465,22.521,-774.849
1638891294.4801354,2021-12-07 10:34:54.480082,-0.100,-0.001,1.019,19.685,16.523,1011.258,15.789,24.522,12.241,0.62,21.379,21.398,22.483,-774.849
1638891295.4767632,2021-12-07 10:34:55.476738,-0.102,-0.004,1.019,19.685,16.523,1011.258,16.997,24.522,12.235,0.62,21.316,21.332,22.445,-774.849
1638891296.482376,2021-12-07 10:34:56.482329,-0.097,-0.003,1.020,19.685,16.523,1011.258,15.791,24.522,12.235,0.62,21.316,21.332,22.445,-774.849
1638891297.4799042,2021-12-07 10:34:57.479861,-0.098,-0.005,1.021,19.685,16.523,1011.258,16.715,24.522,12.235,0.702,21.253,21.265,22.406,-774.849
1638891298.4800024,2021-12-07 10:34:58.479958,-0.096,-0.004,1.018,19.685,16.523,1011.258,17.012,24.522,12.241,0.62,21.253,21.265,22.406,-774.849
1638891299.4816203,2021-12-07 10:34:59.481583,-0.095,-0.004,1.021,19.696,16.403,1011.262,16.837,24.533,12.241,0.62,21.253,21.265,22.406,-774.849
1638891300.4878263,2021-12-07 10:35:00.487788,-0.099,-0.005,1.023,19.696,16.403,1011.262,15.492,24.533,12.241,0.62,21.253,21.265,22.406,-774.849
